"","Age","State","Posts","Views","Duration","Authors","AuthorExperience","DeletedPosts","Forum","AuthorBanned"
"1",3123,"open",2,539,1,2,122,0,"Medicine","not banned"
"2",2398,"open",1,647,0,3,0,0,"Science","not banned"
"3",442,"open",1,244,0,3,37,0,"Speculation","banned"
"4",1528,"open",1,867,2,2,970,0,"Science","not banned"
"5",705,"open",1,643,3,2,0,0,"Misc","not banned"
"6",400,"open",1,315,2,2,0,0,"Science","not banned"
"7",444,"open",13,1120,1,5,255,0,"Science","not banned"
"8",3313,"open",2,419,1,3,837,0,"Science","not banned"
"9",3362,"open",13,8598,1014,12,515,0,"Science","not banned"
"10",3885,"open",1,610,1,3,57,0,"Science","not banned"
"11",1669,"open",2,768,1,4,13,1,"Science","not banned"
"12",3359,"open",4,475,1,4,276,0,"Science","not banned"
"13",2740,"open",2,4381,34,4,13,0,"Misc","not banned"
"14",180,"closed",32,649,2,11,0,0,"Speculation","banned"
"15",757,"open",2,490,27,2,1071,0,"Science","not banned"
"16",1549,"open",6,1245,3,6,730,0,"Science","not banned"
"17",3425,"open",15,2852,3,6,379,0,"Science","not banned"
"18",3537,"open",4,804,1,3,42,0,"Science","banned"
"19",2525,"open",6,1075,1,6,1625,0,"Science","not banned"
"20",1855,"open",7,1439,0,6,52,0,"Math","not banned"
"21",3667,"open",21,945,2,10,85,0,"Discussion","not banned"
"22",3435,"open",1,490,0,3,310,0,"Science","not banned"
"23",3082,"open",7,683,3,4,243,1,"Science","not banned"
"24",624,"open",2,314,66,3,0,0,"Discussion","not banned"
"25",4188,"open",0,664,0,2,34,0,"Science","not banned"
"26",2623,"open",9,1621,202,4,228,0,"Science","not banned"
"27",3602,"open",17,2194,78,10,19,0,"Medicine","not banned"
"28",2309,"open",4,695,1,4,9,0,"Science","not banned"
"29",3501,"open",3,8625,2942,5,112,1,"Misc","not banned"
"30",3213,"open",3,729,12,5,290,0,"Science","not banned"
"31",3428,"open",1,476,0,3,376,0,"Science","not banned"
"32",1948,"open",7,2018,2,4,26,0,"Science","not banned"
"33",1290,"open",10,1327,2,6,202,0,"Science","banned"
"34",1752,"open",4,416,1,3,108,0,"Science","not banned"
"35",3747,"open",0,885,174,2,2,0,"Science","not banned"
"36",2645,"open",10,1072,5,4,54,0,"Science","banned"
"37",3549,"open",6,633,1,4,30,0,"Math","banned"
"38",1188,"open",57,3349,1138,24,658,0,"Misc","not banned"
"39",3737,"open",1,1815,30,2,1,0,"Science","not banned"
"40",2159,"open",37,1392,123,29,1658,0,"Discussion","not banned"
"41",2626,"open",0,536,13,2,0,0,"Science","not banned"
"42",3699,"open",6,519,0,4,51,0,"Discussion","not banned"
"43",3487,"open",9,2840,3,4,9,0,"Math","not banned"
"44",1821,"open",1,283,0,2,0,0,"Speculation","not banned"
"45",1230,"open",1,694,3,2,617,0,"Speculation","not banned"
"46",3047,"open",183,5698,32,27,171,7,"Misc","not banned"
"47",3854,"open",45,31334,3,11,237,0,"Science","not banned"
"48",4048,"open",8,1459,268,5,26,0,"Medicine","not banned"
"49",1461,"open",7,893,3,4,42,0,"Science","banned"
"50",2502,"open",37,238,852,12,1499,0,"Misc","not banned"
"51",3368,"open",6,684,9,6,2,0,"Science","not banned"
"52",200,"open",6,126,0,4,2,0,"Speculation","not banned"
"53",3337,"open",2,321,0,4,0,0,"Science","not banned"
"54",3478,"closed",54,3600,4,6,473,0,"Math","not banned"
"55",2017,"open",7,656,1,8,1,0,"Science","not banned"
"56",1357,"open",0,958,19,2,0,0,"Science","not banned"
"57",1947,"open",85,14953,65,13,251,0,"Speculation","not banned"
"58",2811,"open",27,2335,34,13,437,5,"Science","not banned"
"59",3759,"open",10,801,10,6,45,0,"Science","not banned"
"60",3271,"open",0,383,1,2,481,0,"Science","not banned"
"61",3289,"open",4,1390,15,4,255,0,"Science","not banned"
"62",1194,"open",2,1122,11,3,0,0,"Homework","not banned"
"63",1382,"open",1,3122,0,3,0,0,"Science","not banned"
"64",2042,"closed",2,1324,2,4,0,0,"Science","not banned"
"65",1904,"open",0,484,2,2,59,0,"Science","not banned"
"66",483,"open",4,294,12,2,0,0,"Homework","not banned"
"67",2284,"open",4,610,10,5,0,0,"Misc","not banned"
"68",2275,"open",0,728,0,2,5,0,"Science","not banned"
"69",915,"open",3,325,1,3,15,0,"Homework","not banned"
"70",1960,"open",2,340,0,3,1584,0,"Discussion","not banned"
"71",359,"open",0,279,1,2,130,0,"Science","not banned"
"72",2791,"closed",35,4279,55,15,0,0,"Misc","not banned"
"73",1679,"open",17,1425,0,3,24,0,"Science","not banned"
"74",3370,"open",19,1653,1,3,780,0,"Misc","not banned"
"75",1038,"open",0,904,2,1,42,0,"Math","not banned"
"76",2620,"open",17,11586,11,10,732,0,"Science","not banned"
"77",1651,"open",0,417,3,2,453,0,"Science","not banned"
"78",677,"open",4,1264,167,5,14,0,"Discussion","not banned"
"79",401,"open",1,237,0,2,0,0,"Homework","not banned"
"80",1356,"open",1,1964,1,3,1814,0,"Misc","not banned"
"81",281,"open",6,412,1,4,305,0,"Misc","not banned"
"82",421,"open",2,413,9,4,0,0,"Science","not banned"
"83",280,"open",2,155,0,3,64,0,"Homework","not banned"
"84",2176,"open",4,382,0,5,411,0,"Discussion","not banned"
"85",3386,"open",55,2639,18,23,232,0,"Discussion","not banned"
"86",3867,"closed",5,554,65,5,351,0,"Science","not banned"
"87",2557,"open",0,419,0,2,28,0,"Homework","not banned"
"88",631,"open",2,283,18,3,0,0,"Homework","not banned"
"89",2699,"open",13,2192,39,10,755,0,"Math","not banned"
"90",3020,"open",3,564,0,3,1130,0,"Science","not banned"
"91",654,"open",1,218,1,3,253,0,"Homework","not banned"
"92",2283,"open",3,750,1,5,1261,0,"Discussion","not banned"
"93",3233,"open",2,466,1,3,255,0,"Math","not banned"
"94",789,"open",2,219,1,2,276,0,"Homework","not banned"
"95",1459,"open",5,644,0,6,15,0,"Discussion","not banned"
"96",2289,"open",58,5452,54,15,0,2,"Math","not banned"
"97",1917,"open",0,492,2,2,1534,0,"Medicine","not banned"
"98",1885,"open",0,477,6,2,444,0,"Misc","not banned"
"99",1858,"open",2,709,0,4,308,0,"Science","not banned"
"100",3823,"open",8,644,0,7,163,0,"Discussion","not banned"
"101",1647,"open",8,1800,1,7,1052,0,"Discussion","banned"
"102",930,"open",2,571,18,4,0,0,"Math","not banned"
"103",3389,"open",4,515,1,4,415,0,"Science","not banned"
"104",36,"open",14,361,6,3,965,0,"Medicine","not banned"
"105",2920,"open",3,473,2,4,572,0,"Science","not banned"
"106",2499,"open",7,696,16,7,3,0,"Science","not banned"
"107",672,"open",4,483,5,3,201,0,"Science","not banned"
"108",860,"open",11,2179,2,7,1511,0,"Science","not banned"
"109",3113,"open",16,1110,98,10,273,0,"Science","not banned"
"110",3685,"open",3,465,0,4,303,0,"Misc","not banned"
"111",1884,"open",2,601,0,2,1442,0,"Science","not banned"
"112",2741,"open",5,724,11,5,0,0,"Homework","not banned"
"113",1248,"open",9,1880,10,4,9,0,"Science","not banned"
"114",2291,"open",4,462,1,6,0,0,"Speculation","not banned"
"115",1781,"open",1,2457,1,3,629,0,"Science","not banned"
"116",462,"open",19,1500,110,15,0,0,"Science","not banned"
"117",1221,"open",8,2548,16,8,4,0,"Science","not banned"
"118",202,"open",7,323,1,5,0,0,"Speculation","not banned"
"119",3838,"open",113,20061,372,28,12,0,"Math","not banned"
"120",623,"open",15,654,10,5,1382,0,"Math","not banned"
"121",2576,"open",8,717,8,5,11,0,"Science","not banned"
"122",3468,"open",0,511,1,2,605,0,"Science","not banned"
"123",991,"open",21,2391,30,8,981,0,"Discussion","not banned"
"124",834,"open",1,477,0,3,0,0,"Science","not banned"
"125",1586,"open",11,1167,22,7,21,0,"Science","not banned"
"126",3546,"open",11,548,37,7,204,1,"Discussion","not banned"
"127",1302,"open",11,1132,3,5,1817,0,"Science","not banned"
"128",2107,"open",4,721,3,5,0,0,"Homework","not banned"
"129",2181,"open",5,715,78,4,0,1,"Medicine","not banned"
"130",438,"open",40,1124,43,6,0,0,"Science","not banned"
"131",1512,"open",28,2552,22,13,57,0,"Science","not banned"
"132",786,"open",12,679,2,8,0,1,"Science","not banned"
"133",50,"open",10,198,0,5,49,0,"Science","not banned"
"134",1970,"open",0,603,1,2,89,0,"Medicine","banned"
"135",2670,"open",17,1376,4,10,64,0,"Misc","not banned"
"136",676,"open",6,465,3,4,32,0,"Science","not banned"
"137",2293,"open",6,15314,3,7,292,0,"Homework","not banned"
"138",3818,"open",8,812,5,5,92,0,"Science","not banned"
"139",2398,"open",0,538,3,3,0,1,"Science","not banned"
"140",3551,"open",3,507,3,3,95,0,"Homework","not banned"
"141",3327,"open",4,769,3,3,381,0,"Medicine","not banned"
"142",3844,"open",2,712,0,4,411,0,"Misc","not banned"
"143",240,"open",5,295,1,5,1257,0,"Science","not banned"
"144",2213,"open",6,431,1,4,0,0,"Science","not banned"
"145",59,"open",0,158,0,2,227,0,"Science","not banned"
"146",1037,"open",2,714,0,3,22,0,"Science","not banned"
"147",2323,"open",4,694,88,6,323,0,"Science","not banned"
"148",1927,"open",0,275,0,2,0,0,"Discussion","not banned"
"149",2503,"open",9,690,2,6,0,0,"Science","not banned"
"150",3130,"open",1,360,0,3,27,0,"Science","not banned"
"151",3606,"open",3,988,1,4,109,0,"Homework","not banned"
"152",3803,"open",23,1443,6,11,84,0,"Science","not banned"
"153",1708,"open",0,299,0,2,1,0,"Science","not banned"
"154",2424,"open",29,2060,88,19,12,0,"Science","not banned"
"155",3116,"open",2,624,1,3,361,0,"Science","not banned"
"156",1128,"open",0,672,0,2,0,0,"Misc","not banned"
"157",869,"open",2,463,0,3,0,0,"Science","not banned"
"158",500,"open",0,399,0,2,0,0,"Science","not banned"
"159",3493,"open",3,583,8,5,257,0,"Science","not banned"
"160",3369,"open",6,4827,5,5,481,0,"Science","not banned"
"161",1026,"open",33,1340,5,9,643,0,"Speculation","banned"
"162",658,"open",5,655,6,5,39,0,"Science","not banned"
"163",39,"open",59,917,14,10,0,0,"Science","not banned"
"164",3658,"open",2,846,66,4,427,0,"Science","not banned"
"165",3318,"open",7,1439,6,5,1,0,"Science","not banned"
"166",1166,"open",3,542,1,2,0,0,"Homework","not banned"
"167",3600,"open",2,492,0,3,555,0,"Science","not banned"
"168",2950,"open",49,2417,8,16,1051,0,"Science","not banned"
"169",594,"open",1,252,1,3,0,0,"Speculation","not banned"
"170",1194,"open",19,3675,65,13,290,2,"Medicine","not banned"
"171",3073,"open",6,683,27,7,471,0,"Speculation","not banned"
"172",3241,"open",11,1366,77,8,114,0,"Medicine","not banned"
"173",1592,"open",11,2579,116,9,512,1,"Science","not banned"
"174",397,"open",3,276,3,4,0,0,"Science","not banned"
"175",3542,"open",6,837,4,4,308,0,"Math","not banned"
"176",2592,"open",4,485,0,4,0,0,"Science","not banned"
"177",3312,"open",10,776,18,6,34,0,"Science","not banned"
"178",54,"open",19,350,3,15,275,0,"Discussion","not banned"
"179",632,"open",1,258,5,3,0,0,"Homework","not banned"
"180",2488,"open",3,472,13,4,0,0,"Science","not banned"
"181",1020,"open",1,478,0,2,649,0,"Discussion","banned"
"182",1312,"open",4,1569,1,4,0,0,"Science","not banned"
"183",1822,"open",0,549,0,3,1011,1,"Science","not banned"
"184",2669,"open",7,986,1,6,1360,0,"Science","not banned"
"185",1221,"open",9,806,1,4,1754,0,"Speculation","banned"
"186",1800,"open",4,414,1,4,0,0,"Science","not banned"
"187",303,"open",46,1525,35,8,5,0,"Science","not banned"
"188",4390,"open",84,4605,1817,48,160,5,"Discussion","not banned"
"189",1486,"open",0,885,0,2,0,0,"Science","not banned"
"190",1630,"open",43,3118,85,10,2120,0,"Discussion","not banned"
"191",2151,"open",8,359,5,8,0,0,"Discussion","not banned"
"192",3400,"open",18,1058,6,8,88,0,"Science","not banned"
"193",295,"open",7,376,7,8,0,0,"Science","not banned"
"194",2485,"open",6,255,1,5,700,0,"Discussion","not banned"
"195",3337,"closed",0,648,0,2,1,0,"Medicine","not banned"
"196",3801,"open",0,745,1,2,38,0,"Homework","not banned"
"197",1066,"open",4,675,0,3,497,0,"Science","not banned"
"198",3380,"open",5,560,12,4,971,0,"Discussion","not banned"
"199",3250,"open",3,439,1,3,0,0,"Science","not banned"
"200",3224,"open",1,412,0,2,580,0,"Science","not banned"
"201",3307,"open",37,1813,10,10,120,0,"Science","not banned"
"202",3616,"open",31,1547,9,6,0,0,"Science","not banned"
"203",2670,"open",4,1721,17,4,0,0,"Medicine","not banned"
